ID,Tipo,COD,Nome,Pubblicato,In primo piano?,Visibilità nel catalogo,Breve descrizione,Descrizione,Data di partenza del prezzo in saldo,Data in cui termina l'offerta,Stato delle imposte,Aliquota di imposta,In stock?,Magazzino,Quantità in magazzino bassa,Abilita gli ordini arretrati?,Venduto singolarmente?,Peso (kg),Lunghezza (cm),Larghezza (cm),Altezza (cm),Permetti le recensioni clienti?,Nota di acquisto,Prezzo in offerta,Prezzo di listino,Categorie,Tag,Classe di spedizione,Immagine,Limite di download,Scarica i giorni di scadenza,Genitore,Prodotti raggruppati,Up-sell,Cross-sell,URL esterna,Testo del pulsante,Posizione,Variation Gallery,Swatches Attributes,Attributo 1 nome,Attributo 1 valuta(e),Attributo 1 visibile,Attributo 1 globale,Attributo 2 nome,Attributo 2 valuta(e),Attributo 2 visibile,Attributo 2 globale,Attributo 3 nome,Attributo 3 valuta(e),Attributo 3 visibile,Attributo 3 globale,Attributo 4 nome,Attributo 4 valuta(e),Attributo 4 visibile,Attributo 4 globale,Attributo 5 nome,Attributo 5 valuta(e),Attributo 5 visibile,Attributo 5 globale,Attributo 6 nome,Attributo 6 valuta(e),Attributo 6 visibile,Attributo 6 globale,Attributo 7 nome,Attributo 7 valuta(e),Attributo 7 visibile,Attributo 7 globale,Attributo 8 nome,Attributo 8 valuta(e),Attributo 8 visibile,Attributo 8 globale,Attributo 9 nome,Attributo 9 valuta(e),Attributo 9 visibile,Attributo 9 globale,Attributo 10 nome,Attributo 10 valuta(e),Attributo 10 visibile,Attributo 10 globale,Attributo 11 nome,Attributo 11 valuta(e),Attributo 11 visibile,Attributo 11 globale,Attributo 12 nome,Attributo 12 valuta(e),Attributo 12 visibile,Attributo 12 globale,Attributo 13 nome,Attributo 13 valuta(e),Attributo 13 visibile,Attributo 13 globale,Attributo 14 nome,Attributo 14 valuta(e),Attributo 14 visibile,Attributo 14 globale
\n 	<li>Tappi di chiusura sicuri sulla parte superiore della barra, realizzati in resistente lamiera di HDPE, resistente alle condizioni atmosferiche,</li>
\n</ul>
\n<strong>Informazioni aggiuntive</strong>
\n<ul>
\n 	<li>Attrezzatura destinata ai parchi giochi pubblici;</li>
\n 	<li>L'attrezzatura ha un certificato rilasciato da un ente accreditato o una dichiarazione di conformità; Nessun bordo tagliente o fessura che possa rappresentare un pericolo per la testa, le dita o qualsiasi altra parte del corpo;</li>
\n 	<li>Ancoraggio su superficie piana, profondo 100 cm;</li>
\n</ul>",,,taxable,,1,,,0,0,,,,,0,,,,"Giochi per parchi > Altalene, Giochi per parchi, Giochi per parchi > Altalene > Swing",Vinci Play,,"https://www.play-lab.it/wp-content/uploads/2024/01/dd80-3029-11s.jpg, https://www.play-lab.it/wp-content/uploads/2024/01/6c93-3029-12s.jpg, https://www.play-lab.it/wp-content/uploads/2024/01/a31f-3029-1ciinox1s.jpg",,,,,,,,,0,,"{""Materiale"":{""name"":""Materiale"",""type"":""image"",""terms"":{""Acciaio"":{""name"":""Acciaio"",""color"":"""",""image"":"""",""show_tooltip"":"""",""tooltip_text"":"""",""tooltip_image"":"""",""image_size"":""""}}}}",Lunghezza,1195 cm,1,1,Larghezza,1075 cm,1,1,Altezza Totale,510 cm,1,1,Età,4 - 14 years,1,1,Zona di Sicurezza,"49\,0 m2",1,1,Altezza di Caduta Libera,"134,5 m2",1,1,In conformità alla norma EN,240 cm,1,1,Peso della parte più pesante,1176-1:2017,1,1,Materiale,235 kg,1,1,Tempo di installazione,513x101x366 cm,1,1,,,1,1,,4 ore,1,1,,,,,,,,

5040,simple,,CASTILLO 3030-1,1,1,visible,"La serie SWING include attrezzature classiche amate sia dai bambini più piccoli che da quelli più grandi. Altalene singole colorate, altalene a dondolo, altalene multiple con sedili a nido d'uccello e altalene multiple bilanciate offrono un piacevole brivido ai bambini e li incoraggiano a giocare con i loro amici. Il movimento ritmico dell'altalena è un efficace esercizio di equilibrio del corpo che ha un effetto positivo sullo sviluppo del sistema muscolare e mentale.","<strong>Specifiche del materiale</strong>
\n<ul>
\n 	<li>Costruzione in acciaio zincato a caldo e verniciato a polvere o zincato a polvere e verniciato a polvere con un diametro di 140 mm,</li>
\n 	<li>Posti attestati e sicuri,</li>
\n 	<li>Catene in acciaio inossidabile con intreccio in gomma; calibrate, per evitare che le dita si incastrino,</li>
\n 	<li>Fissaggi altalena in acciaio inossidabile,</li>
\n 	<li>Viti in acciaio inossidabile e/o viti coperte con tappi in plastica,</li>
\n 	<li>Tappi di chiusura sicuri sulla parte superiore della barra, realizzati in resistente lamiera di HDPE, resistente alle condizioni atmosferiche,</li>
\n</ul>
\n<strong>Informazioni aggiuntive</strong>
\n<ul>
\n 	<li>Attrezzatura destinata ai parchi giochi pubblici;</li>
\n 	<li>L'attrezzatura ha un certificato rilasciato da un ente accreditato o una dichiarazione di conformità; Nessun bordo tagliente o fessura che possa rappresentare un pericolo per la testa, le dita o qualsiasi altra parte del corpo;</li>
\n 	<li>Ancoraggio su superficie piana, profondo 100 cm;</li>
\n</ul>",,,taxable,,1,,,0,0,,,,,0,,,,"Giochi per parchi > Altalene, Giochi per parchi, Giochi per parchi > Altalene > Swing",Vinci Play,,"https://www.play-lab.it/wp-content/uploads/2024/01/8562-3030-11s.jpg, https://www.play-lab.it/wp-content/uploads/2024/01/458f-3030-12s.jpg, https://www.play-lab.it/wp-content/uploads/2024/01/7e5a-3030-1ciinox1s.jpg",,,,,,,,,0,,"{""Materiale"":{""name"":""Materiale"",""type"":""image"",""terms"":{""Acciaio"":{""name"":""Acciaio"",""color"":"""",""image"":"""",""show_tooltip"":"""",""tooltip_text"":"""",""tooltip_image"":"""",""image_size"":""""}}}}",Lunghezza,745 cm,1,1,Larghezza,555 cm,1,1,Altezza Totale,660 cm,1,1,Età,4 - 14 years,1,1,Zona di Sicurezza,"49\,0 m2",1,1,Altezza di Caduta Libera,"51,0 m2",1,1,In conformità alla norma EN,270 cm,1,1,Peso della parte più pesante,1176-1:2017,1,1,Materiale,210 kg,1,1,Tempo di installazione,8x8x585 cm,1,1,,,1,1,,,1,1,,,,,,,,

5041,simple,,CASTILLO 3031-1,1,1,visible,"La serie SWING include attrezzature classiche amate sia dai bambini più piccoli che da quelli più grandi. Altalene singole colorate, altalene a dondolo, altalene multiple con sedili a nido d'uccello e altalene multiple bilanciate offrono un piacevole brivido ai bambini e li incoraggiano a giocare con i loro amici. Il movimento ritmico dell'altalena è un efficace esercizio di equilibrio del corpo che ha un effetto positivo sullo sviluppo del sistema muscolare e mentale.","<strong>Specifiche del materiale</strong>
\n<ul>
\n 	<li>Costruzione in acciaio zincato a caldo e verniciato a polvere o zincato a polvere e verniciato a polvere con un diametro di 140 mm,</li>
\n 	<li>Posti attestati e sicuri,</li>
\n 	<li>Catene in acciaio inossidabile con intreccio in gomma; calibrate, per evitare che le dita si incastrino,</li>
\n 	<li>Fissaggi altalena in acciaio inossidabile,</li>
\n 	<li>Viti in acciaio inossidabile e/o viti coperte con tappi in plastica,</li>
\n 	<li>Tappi di chiusura sicuri sulla parte superiore della barra, realizzati in resistente lamiera di HDPE, resistente alle condizioni atmosferiche,</li>
\n</ul>
\n<strong>Informazioni aggiuntive</strong>
\n<ul>
\n 	<li>Attrezzatura destinata ai parchi giochi pubblici;</li>
\n 	<li>L'attrezzatura ha un certificato rilasciato da un ente accreditato o una dichiarazione di conformità; Nessun bordo tagliente o fessura che possa rappresentare un pericolo per la testa, le dita o qualsiasi altra parte del corpo;</li>
\n 	<li>Ancoraggio su superficie piana, profondo 100 cm;</li>
\n</ul>",,,taxable,,1,,,0,0,,,,,0,,,,"Giochi per parchi > Altalene, Giochi per parchi, Giochi per parchi > Altalene > Swing",Vinci Play,,"https://www.play-lab.it/wp-content/uploads/2024/01/5ad9-3031-11s.jpg, https://www.play-lab.it/wp-content/uploads/2024/01/575f-3031-12s.jpg, https://www.play-lab.it/wp-content/uploads/2024/01/f9b5-3031-1ciinox1s.jpg",,,,,,,,,0,,"{""Materiale"":{""name"":""Materiale"",""type"":""image"",""terms"":{""Acciaio"":{""name"":""Acciaio"",""color"":"""",""image"":"""",""show_tooltip"":"""",""tooltip_text"":"""",""tooltip_image"":"""",""image_size"":""""}}}}",Lunghezza,1155 cm,1,1,Larghezza,815 cm,1,1,Altezza Totale,660 cm,1,1,Età,4 - 14 years,1,1,Zona di Sicurezza,"49\,0 m2",1,1,Altezza di Caduta Libera,"89,3 m2",1,1,In conformità alla norma EN,270 cm,1,1,Peso della parte più pesante,1176-1:2017,1,1,Materiale,210 kg,1,1,Tempo di installazione,8x8x585 cm,1,1,,,1,1,,7 ore,1,1,,,,,,,,

5042,simple,,CASTILLO 3040-1,1,1,visible,"La serie SWING include attrezzature classiche amate sia dai bambini più piccoli che da quelli più grandi. Altalene singole colorate, altalene a dondolo, altalene multiple con sedili a nido d'uccello e altalene multiple bilanciate offrono un piacevole brivido ai bambini e li incoraggiano a giocare con i loro amici. Il movimento ritmico dell'altalena è un efficace esercizio di equilibrio del corpo che ha un effetto positivo sullo sviluppo del sistema muscolare e mentale.","<strong>Specifiche del materiale</strong>
\n<ul>
\n 	<li>Costruzione in acciaio zincato a caldo e verniciato a polvere o zincato a polvere e verniciato a polvere con un diametro di 140 mm,</li>
\n 	<li>Posti attestati e sicuri,</li>
\n 	<li>Catene in acciaio inossidabile con intreccio in gomma; calibrate, per evitare che le dita si incastrino,</li>
\n 	<li>Fissaggi altalena in acciaio inossidabile,</li>
\n 	<li>Viti in acciaio inossidabile e/o viti coperte con tappi in plastica,</li>
\n 	<li>Tappi di chiusura sicuri sulla parte superiore della barra, realizzati in resistente lamiera di HDPE, resistente alle condizioni atmosferiche,</li>
\n</ul>
\n<strong>Informazioni aggiuntive</strong>
\n<ul>
\n 	<li>Attrezzatura destinata ai parchi giochi pubblici;</li>
\n 	<li>L'attrezzatura ha un certificato rilasciato da un ente accreditato o una dichiarazione di conformità; Nessun bordo tagliente o fessura che possa rappresentare un pericolo per la testa, le dita o qualsiasi altra parte del corpo;</li>
\n 	<li>Ancoraggio su superficie piana, profondo 100 cm;</li>
\n</ul>",,,taxable,,1,,,0,0,,,,,0,,,,"Giochi per parchi > Altalene, Giochi per parchi, Giochi per parchi > Altalene > Swing",Vinci Play,,"https://www.play-lab.it/wp-content/uploads/2024/01/ceef-3040-11s.jpg, https://www.play-lab.it/wp-content/uploads/2024/01/e935-3040-12s.jpg, https://www.play-lab.it/wp-content/uploads/2024/01/6498-3040-1ciinox1s.jpg",,,,,,,,,0,,"{""Materiale"":{""name"":""Materiale"",""type"":""image"",""terms"":{""Acciaio"":{""name"":""Acciaio"",""color"":"""",""image"":"""",""show_tooltip"":"""",""tooltip_text"":"""",""tooltip_image"":"""",""image_size"":""""}}}}",Lunghezza,1055 cm,1,1,Larghezza,800 cm,1,1,Altezza Totale,955 cm,1,1,Età,4 - 14 years,1,1,Zona di Sicurezza,"49\,0 m2",1,1,Altezza di Caduta Libera,"76,5 m2",1,1,In conformità alla norma EN,270 cm,1,1,Peso della parte più pesante,1176-1:2017,1,1,Materiale,210 kg,1,1,Tempo di installazione,8x8x585 cm,1,1,,,1,1,,5 ore,1,1,,,,,,,,

5047,simple,,CASTILLO 3041-1,1,1,visible,"La serie SWING include attrezzature classiche amate sia dai bambini più piccoli che da quelli più grandi. Altalene singole colorate, altalene a dondolo, altalene multiple con sedili a nido d'uccello e altalene multiple bilanciate offrono un piacevole brivido ai bambini e li incoraggiano a giocare con i loro amici. Il movimento ritmico dell'altalena è un efficace esercizio di equilibrio del corpo che ha un effetto positivo sullo sviluppo del sistema muscolare e mentale.","<strong>Specifiche del materiale</strong>
\n<ul>
\n 	<li>Costruzione in acciaio zincato a caldo e verniciato a polvere o zincato a polvere e verniciato a polvere con un diametro di 140 mm,</li>
\n 	<li>Posti attestati e sicuri,</li>
\n 	<li>Catene in acciaio inossidabile con intreccio in gomma; calibrate, per evitare che le dita si incastrino,</li>
\n 	<li>Fissaggi altalena in acciaio inossidabile,</li>
\n 	<li>Viti in acciaio inossidabile e/o viti coperte con tappi in plastica,</li>
\n 	<li>Tappi di chiusura sicuri sulla parte superiore della barra, realizzati in resistente lamiera di HDPE, resistente alle condizioni atmosferiche,</li>
\n</ul>
\n<strong>Informazioni aggiuntive</strong>
\n<ul>
\n 	<li>Attrezzatura destinata ai parchi giochi pubblici;</li>
\n 	<li>L'attrezzatura ha un certificato rilasciato da un ente accreditato o una dichiarazione di conformità; Nessun bordo tagliente o fessura che possa rappresentare un pericolo per la testa, le dita o qualsiasi altra parte del corpo;</li>
\n 	<li>Ancoraggio su superficie piana, profondo 100 cm;</li>
\n</ul>",,,taxable,,1,,,0,0,,,,,0,,,,"Giochi per parchi > Altalene, Giochi per parchi, Giochi per parchi > Altalene > Swing",Vinci Play,,"https://www.play-lab.it/wp-content/uploads/2024/01/e825-3041-11s.jpg, https://www.play-lab.it/wp-content/uploads/2024/01/7620-3041-12s.jpg, https://www.play-lab.it/wp-content/uploads/2024/01/634a-3041-1ciinox1s.jpg",,,,,,,,,0,,"{""Materiale"":{""name"":""Materiale"",""type"":""image"",""terms"":{""Acciaio"":{""name"":""Acciaio"",""color"":"""",""image"":"""",""show_tooltip"":"""",""tooltip_text"":"""",""tooltip_image"":"""",""image_size"":""""}}}}",Lunghezza,1530 cm,1,1,Larghezza,1325 cm,1,1,Altezza Totale,955 cm,1,1,Età,4 - 14 years,1,1,Zona di Sicurezza,"49\,0 m2",1,1,Altezza di Caduta Libera,"141,1 m2",1,1,In conformità alla norma EN,270 cm,1,1,Peso della parte più pesante,1176-1:2017,1,1,Materiale,210 kg,1,1,Tempo di installazione,8x8x585 cm,1,1,,,1,1,,"7,5 ore",1,1,,,,,,,,

5048,simple,,CASTILLO 3045-1,1,1,visible,"La serie SWING include attrezzature classiche amate sia dai bambini più piccoli che da quelli più grandi. Altalene singole colorate, altalene a dondolo, altalene multiple con sedili a nido d'uccello e altalene multiple bilanciate offrono un piacevole brivido ai bambini e li incoraggiano a giocare con i loro amici. Il movimento ritmico dell'altalena è un efficace esercizio di equilibrio del corpo che ha un effetto positivo sullo sviluppo del sistema muscolare e mentale.","<strong>Specifiche del materiale</strong>
\n<ul>
\n 	<li>Costruzione in acciaio zincato a caldo e verniciato a polvere o zincato a polvere e verniciato a polvere con un diametro di 140 mm,</li>
\n 	<li>Posti attestati e sicuri,</li>
\n 	<li>Catene in acciaio inossidabile con intreccio in gomma; calibrate, per evitare che le dita si incastrino,</li>
\n 	<li>Fissaggi altalena in acciaio inossidabile,</li>
\n 	<li>Viti in acciaio inossidabile e/o viti coperte con tappi in plastica,</li>
\n 	<li>Tappi di chiusura sicuri sulla parte superiore della barra, realizzati in resistente lamiera di HDPE, resistente alle condizioni atmosferiche,</li>
\n</ul>
\n<strong>Informazioni aggiuntive</strong>
\n<ul>
\n 	<li>Attrezzatura destinata ai parchi giochi pubblici;</li>
\n 	<li>L'attrezzatura ha un certificato rilasciato da un ente accreditato o una dichiarazione di conformità; Nessun bordo tagliente o fessura che possa rappresentare un pericolo per la testa, le dita o qualsiasi altra parte del corpo;</li>
\n 	<li>Ancoraggio su superficie piana, profondo 100 cm;</li>
\n</ul>",,,taxable,,1,,,0,0,,,,,0,,,,"Giochi per parchi > Altalene, Giochi per parchi, Giochi per parchi > Altalene > Swing",Vinci Play,,"https://www.play-lab.it/wp-content/uploads/2024/01/3fb1-3045-11s.jpg, https://www.play-lab.it/wp-content/uploads/2024/01/dd44-3045-12s.jpg, https://www.play-lab.it/wp-content/uploads/2024/01/95ae-3045-1ciinox1s.jpg",,,,,,,,,0,,"{""Materiale"":{""name"":""Materiale"",""type"":""image"",""terms"":{""Acciaio"":{""name"":""Acciaio"",""color"":"""",""image"":"""",""show_tooltip"":"""",""tooltip_text"":"""",""tooltip_image"":"""",""image_size"":""""}}}}",Lunghezza,1530 cm,1,1,Larghezza,1520 cm,1,1,Altezza Totale,955 cm,1,1,Età,4 - 14 years,1,1,Zona di Sicurezza,"49\,0 m2",1,1,Altezza di Caduta Libera,"174,3 m2",1,1,In conformità alla norma EN,270 cm,1,1,Peso della parte più pesante,1176-1:2017,1,1,Materiale,210 kg,1,1,Tempo di installazione,8x8x585 cm,1,1,,,1,1,,24 ore,1,1,,,,,,,,

5049,simple,,CASTILLO 3060-1,1,1,visible,"La serie SWING include attrezzature classiche amate sia dai bambini più piccoli che da quelli più grandi. Altalene singole colorate, altalene a dondolo, altalene multiple con sedili a nido d'uccello e altalene multiple bilanciate offrono un piacevole brivido ai bambini e li incoraggiano a giocare con i loro amici. Il movimento ritmico dell'altalena è un efficace esercizio di equilibrio del corpo che ha un effetto positivo sullo sviluppo del sistema muscolare e mentale.","<strong>Specifiche del materiale</strong>
\n<ul>
\n 	<li>Costruzione in acciaio zincato a caldo e verniciato a polvere o zincato a polvere e verniciato a polvere con un diametro di 140 mm,</li>
\n 	<li>Posti attestati e sicuri,</li>
\n 	<li>Catene in acciaio inossidabile con intreccio in gomma; calibrate, per evitare che le dita si incastrino,</li>
\n 	<li>Fissaggi altalena in acciaio inossidabile,</li>
\n 	<li>Viti in acciaio inossidabile e/o viti coperte con tappi in plastica,</li>
\n 	<li>Tappi di chiusura sicuri sulla parte superiore della barra, realizzati in resistente lamiera di HDPE, resistente alle condizioni atmosferiche,</li>
\n</ul>
\n<strong>Informazioni aggiuntive</strong>
\n<ul>
\n 	<li>Attrezzatura destinata ai parchi giochi pubblici;</li>
\n 	<li>L'attrezzatura ha un certificato rilasciato da un ente accreditato o una dichiarazione di conformità; Nessun bordo tagliente o fessura che possa rappresentare un pericolo per la testa, le dita o qualsiasi altra parte del corpo;</li>
\n 	<li>Ancoraggio su superficie piana, profondo 100 cm;</li>
\n</ul>",,,taxable,,1,,,0,0,,,,,0,,,,"Giochi per parchi > Altalene, Giochi per parchi > Aree Gioco, Giochi per parchi, Giochi per parchi > Aree Gioco > Recycled, Giochi per parchi > Altalene > Swing",Vinci Play,,"https://www.play-lab.it/wp-content/uploads/2024/01/f26d-3060-11s.jpg, https://www.play-lab.it/wp-content/uploads/2024/01/57f1-3060-12s.jpg, https://www.play-lab.it/wp-content/uploads/2024/01/c3dc-3060-1ciinox1s.jpg",,,,,,,,,0,,"{""Materiale"":{""name"":""Materiale"",""type"":""image"",""terms"":{""Acciaio"":{""name"":""Acciaio"",""color"":"""",""image"":"""",""show_tooltip"":"""",""tooltip_text"":"""",""tooltip_image"":"""",""image_size"":""""}}}}",Lunghezza,2050 cm,1,1,Larghezza,2000 cm,1,1,Altezza Totale,955 cm,1,1,Età,4 - 14 years,1,1,Zona di Sicurezza,"49\,0 m2",1,1,Altezza di Caduta Libera,"281,4 m2",1,1,In conformità alla norma EN,270 cm,1,1,Peso della parte più pesante,1176-1:2017,1,1,Materiale,210 kg,1,1,Tempo di installazione,8x8x585 cm,1,1,,,1,1,,35 ore,1,1,,,,,,,,

5050,simple,,CASTILLO 3080,1,1,visible,"La serie SWING include attrezzature classiche amate sia dai bambini più piccoli che da quelli più grandi. Altalene singole colorate, altalene a dondolo, altalene multiple con sedili a nido d'uccello e altalene multiple bilanciate offrono un piacevole brivido ai bambini e li incoraggiano a giocare con i loro amici. Il movimento ritmico dell'altalena è un efficace esercizio di equilibrio del corpo che ha un effetto positivo sullo sviluppo del sistema muscolare e mentale.","<strong>Specifiche del materiale</strong>
\n<ul>
\n 	<li>Costruzione in acciaio zincato a caldo e verniciato a polvere o zincato a polvere e verniciato a polvere con un diametro di 140 mm,</li>
\n 	<li>Posti attestati e sicuri,</li>
\n 	<li>Catene in acciaio inossidabile con intreccio in gomma; calibrate, per evitare che le dita si incastrino,</li>
\n 	<li>Fissaggi altalena in acciaio inossidabile,</li>
\n 	<li>Viti in acciaio inossidabile e/o viti coperte con tappi in plastica,</li>
\n 	<li>Tappi di chiusura sicuri sulla parte superiore della barra, realizzati in resistente lamiera di HDPE, resistente alle condizioni atmosferiche,</li>
\n</ul>
\n<strong>Informazioni aggiuntive</strong>
\n<ul>
\n 	<li>Attrezzatura destinata ai parchi giochi pubblici;</li>
\n 	<li>L'attrezzatura ha un certificato rilasciato da un ente accreditato o una dichiarazione di conformità; Nessun bordo tagliente o fessura che possa rappresentare un pericolo per la testa, le dita o qualsiasi altra parte del corpo;</li>
\n 	<li>Ancoraggio su superficie piana, profondo 100 cm;</li>
\n</ul>",,,taxable,,1,,,0,0,,,,,0,,,,"Giochi per parchi > Altalene, Giochi per parchi > Aree Gioco, Giochi per parchi, Giochi per parchi > Aree Gioco > Recycled, Giochi per parchi > Altalene > Swing",Vinci Play,,"https://www.play-lab.it/wp-content/uploads/2024/01/ff5f-30801s.jpg, https://www.play-lab.it/wp-content/uploads/2024/01/84b2-30802s.jpg, https://www.play-lab.it/wp-content/uploads/2024/01/444e-3080ciinox1s.jpg",,,,,,,,,0,,"{""Materiale"":{""name"":""Materiale"",""type"":""image"",""terms"":{""Acciaio"":{""name"":""Acciaio"",""color"":"""",""image"":"""",""show_tooltip"":"""",""tooltip_text"":"""",""tooltip_image"":"""",""image_size"":""""}}}}",Lunghezza,1200 cm,1,1,Larghezza,605 cm,1,1,Altezza Totale,645 cm,1,1,Età,4 - 14 years,1,1,Zona di Sicurezza,"49\,0 m2",1,1,Altezza di Caduta Libera,"100,9 m2",1,1,In conformità alla norma EN,270 cm,1,1,Peso della parte più pesante,1176-1:2017,1,1,Materiale,42 kg,1,1,Tempo di installazione,265x180x270 cm,1,1,,,1,1,,24 ore,1,1,,,,,,,,

5051,simple,,ROBINIA RB1309,1,1,visible,"La serie SWING include attrezzature classiche amate sia dai bambini più piccoli che da quelli più grandi. Altalene singole colorate, altalene a dondolo, altalene multiple con sedili a nido d'uccello e altalene multiple bilanciate offrono un piacevole brivido ai bambini e li incoraggiano a giocare con i loro amici. Il movimento ritmico dell'altalena è un efficace esercizio di equilibrio del corpo che ha un effetto positivo sullo sviluppo del sistema muscolare e mentale.","<strong>Specifiche del materiale</strong>
